DATE	Value
1.1.1996	43.01
1.2.1996	43.12
1.3.1996	43.22
1.4.1996	43.35
1.5.1996	43.56
1.6.1996	43.63
1.7.1996	43.75
1.8.1996	43.99
1.9.1996	44.41
1.10.1996	44.7
1.11.1996	44.88
1.12.1996	45.01
1.1.1997	45.48
1.2.1997	45.7
1.3.1997	45.95
1.4.1997	46.12
1.5.1997	46.14
1.6.1997	46.29
1.7.1997	46.32
1.8.1997	46.8
1.9.1997	46.87
1.10.1997	47.26
1.11.1997	47.56
1.12.1997	47.81
1.1.1998	48.72
1.2.1998	49.07
1.3.1998	49.19
1.4.1998	49.38
1.5.1998	49.68
1.6.1998	49.74
1.7.1998	49.55
1.8.1998	49.43
1.9.1998	49.64
1.10.1998	50.23
1.11.1998	50.45
1.12.1998	50.55
1.1.1999	52.03
1.2.1999	52.43
1.3.1999	52.57
1.4.1999	52.82
1.5.1999	52.89
1.6.1999	53.16
1.7.1999	56.27
1.8.1999	56.53
1.9.1999	56.89
1.10.1999	57.19
1.11.1999	57.41
1.12.1999	57.66
1.1.2000	59.14
1.2.2000	61.17
1.3.2000	61.4
1.4.2000	61.36
1.5.2000	61.53
1.6.2000	61.49
1.7.2000	61.48
1.8.2000	61.53
1.9.2000	61.91
1.10.2000	62.15
1.11.2000	62.37
1.12.2000	62.51
1.1.2001	63.57
1.2.2001	65.05
1.3.2001	65.45
1.4.2001	65.73
1.5.2001	66.05
1.6.2001	66.13
1.7.2001	66.38
1.8.2001	66.26
1.9.2001	66.45
1.10.2001	66.45
1.11.2001	66.61
1.12.2001	66.7
1.1.2002	67.68
1.2.2002	67.89
1.3.2002	67.91
1.4.2002	68.16
1.5.2002	68.23
1.6.2002	67.97
1.7.2002	67.82
1.8.2002	68.25
1.9.2002	68.53
1.10.2002	68.62
1.11.2002	68.62
1.12.2002	68.85
1.1.2003	72.5
1.2.2003	72.91
1.3.2003	73.36
1.4.2003	73.4
1.5.2003	73.44
1.6.2003	73.62
1.7.2003	73.59
1.8.2003	74.4
1.9.2003	74.88
1.10.2003	75.02
1.11.2003	75.15
1.12.2003	75.29
1.1.2004	78.52
1.2.2004	79.04
1.3.2004	79.22
1.4.2004	79.22
1.5.2004	79.49
1.6.2004	79.64
1.7.2004	79.78
1.8.2004	79.69
1.9.2004	79.81
1.10.2004	79.94
1.11.2004	79.82
1.12.2004	79.72
1.1.2005	81.05
1.2.2005	81.16
1.3.2005	81.13
1.4.2005	81.31
1.5.2005	81.41
1.6.2005	81.73
1.7.2005	81.47
1.8.2005	81.39
1.9.2005	81.62
1.10.2005	82.72
1.11.2005	82.73
1.12.2005	82.77
1.1.2006	84.35
1.2.2006	84.62
1.3.2006	84.63
1.4.2006	84.89
1.5.2006	85.31
1.6.2006	85.43
1.7.2006	85.53
1.8.2006	85.44
1.9.2006	85.27
1.10.2006	85.29
1.11.2006	85.74
1.12.2006	85.8
1.1.2007	86.23
1.2.2007	86.31
1.3.2007	86.36
1.4.2007	86.6
1.5.2007	86.62
1.6.2007	86.68
1.7.2007	86.58
1.8.2007	86.5
1.9.2007	86.75
1.10.2007	87.35
1.11.2007	87.7
1.12.2007	87.94
1.1.2008	88.97
1.2.2008	89.23
1.3.2008	89.49
1.4.2008	89.76
1.5.2008	90.1
1.6.2008	90.42
1.7.2008	90.41
1.8.2008	90.35
1.9.2008	90.7
1.10.2008	91.01
1.11.2008	91.12
1.12.2008	91.06
1.1.2009	91.38
1.2.2009	91.36
1.3.2009	91.11
1.4.2009	91.01
1.5.2009	91.07
1.6.2009	91.08
1.7.2009	90.97
