Date;USD;JPY;BGN;CYP;CZK;DKK;EEK;GBP;HUF;LTL;LVL;MTL;PLN;ROL;RON;SEK;SIT;SKK;CHF;ISK;NOK;HRK;RUB;TRL;TRY;AUD;BRL;CAD;CNY;HKD;IDR;ILS;INR;KRW;MXN;MYR;NZD;PHP;SGD;THB;ZAR
13.12.2021;0.000443439;-7.80E-05;0;NA;0.001418272;0;NA;-0.002310675;0.004067432;NA;NA;NA;0.002122499;NA;0;-0.001494338;NA;NA;-0.00057576;0.001352265;0.00259199;-0.000531703;0.000258413;NA;0.022790047;0.001901141;0.004234304;0.003341691;-0.000515353;0.000557182;-0.00291487;0.003115579;0.00131199;0.001688587;-0.003139267;0.003993028;0.000961365;-0.000264371;0.001557633;-0.008814594;-0.003998806
14.12.2021;0.002744944;0.002026185;0;NA;-0.002641176;0;NA;0.002193511;-0.00059952;NA;NA;NA;0.001707721;NA;0;0.004875205;NA;NA;-0.001344732;-0.004062294;0.008595016;3.99E-05;0.004487416;NA;0.009714382;0.004485021;0.008399504;0.00706423;0.002490731;0.002951294;0.001495581;0.005748287;0.005329797;0.003525572;0.010503211;0.003810007;0.004314743;0.002658148;0.003172653;0.002761259;0.00845084
15.12.2021;-0.004164642;-0.00155824;0;NA;-0.002489874;0;NA;-0.004285931;0.006087472;NA;NA;NA;-0.000604935;NA;-2.02E-05;-0.002385881;NA;NA;0.001152738;-0.004078864;-0.00192427;-6.65E-05;-0.001353139;NA;0.021483628;-0.006513033;0.009853527;0.000413993;-0.003689604;-0.004157018;-0.0008638;0.003059839;0.00180905;-0.002176752;0.004266886;-0.00464932;-0.002035198;-0.005429431;-0.004145889;-0.002681501;0.004168566
16.12.2021;0.006549276;0.008695032;0;NA;0.000435187;0;NA;-0.001707741;0.000406322;NA;NA;NA;0.00012966;NA;0.000101019;-0.000975467;NA;NA;0.003928525;0;-0.008049676;-0.00049209;0.002430731;NA;0.059835792;-0.003113387;0.000372868;-0.000828157;0.006839344;0.006477875;0.006174856;-0.002889602;0.004245084;0.004468062;-0.004826244;0.000986121;-0.004744896;0.001889542;0.003240444;0.008049399;-0.004709494
17.12.2021;-0.000529427;-0.008461141;0;NA;-0.001068524;2.69E-05;NA;0.004387133;-0.004533062;NA;NA;NA;0.001252511;NA;6.06E-05;0.002806773;NA;NA;-0.004600794;-0.004095569;0.003198176;0.000691517;0.004786452;NA;0.083601123;0.006406822;0.004185209;0.002964395;0.000706288;-0.000497681;0.000175198;0.006983051;-0.003902257;0.001028262;-0.009438359;0.002555189;0.00767666;-0.001059116;0.000258782;-0.005633073;-0.010216487
20.12.2021;-0.005043589;-0.002341373;0;NA;-0.000831864;-1.34E-05;NA;-3.52E-05;-0.002396972;NA;NA;NA;2.16E-05;NA;-0.00030307;0.002498021;NA;NA;-9.61E-05;0.002732242;0.001296036;-0.000970919;-0.001143024;NA;0.047400398;0.002526051;-0.006658052;0.002886997;-0.004884964;-0.005047336;-0.001511401;0.00317849;-0.00654559;0.000476517;-0.004537336;-0.003394379;0.002386921;-0.006467239;-0.002850297;0.0048416;-0.005643965
21.12.2021;0.001949664;0.003587868;0;NA;0.000237746;-1.34E-05;NA;0.000879843;0.003566134;NA;NA;NA;0.000819743;NA;0.000282868;0.002956503;NA;NA;0.000864346;0.001363327;-0.004198568;0.000864563;0.000101682;NA;-0.309154872;-0.000946522;0.00549725;0.00205705;0.001154004;0.001908506;-0.006711026;0.004539222;-0.001611777;0.00148022;0.00115118;-0.002206231;-0.003104109;0.002361402;-6.49E-05;0.003425202;0.004220596
22.12.2021;0.000531067;0.004970498;0;NA;0;0;NA;-0.004465867;0.001466316;NA;NA;NA;-0.001186688;NA;6.06E-05;-0.003966624;NA;NA;0.001438918;0;-0.008659091;-9.31E-05;-0.001902561;NA;-0.044565149;-0.005190214;0.000665691;-0.000685213;0.00047234;0.000499245;-0.002029884;0.000139772;0.000494227;0.000639016;9.80E-05;0.001618378;-0.003113775;0.006769142;0.000518874;0.002915339;0.003585242
23.12.2021;0.000796073;0.002398732;0;NA;-0.006040394;0;NA;-0.007946686;0.003521226;NA;NA;NA;-0.000863931;NA;-0.000161619;0.001252786;NA;NA;-0.00182298;0.001361471;-0.004981926;-0.000571911;-0.002435862;NA;-0.106325077;-0.007580378;-0.009344627;-0.005429753;0.000791364;0.000680388;-0.00379037;-0.003135589;-0.003865459;-0.002201121;-0.002602446;-0.002418025;-0.003905903;-0.002451392;-0.002792119;-0.005153566;-0.010625749
24.12.2021;0.00061873;0.000463607;0;NA;-0.002953976;-2.69E-05;NA;0.001909654;0.00264629;NA;NA;NA;-0.001946578;NA;6.06E-05;0.00256864;NA;NA;-0.00105693;0.00135962;-0.000699454;-0.000758619;-0.000407356;NA;0.045402832;0.000383583;0.003337391;-0.000551496;0.000111019;0.000453335;0.000911573;0.002016864;-0.002265207;-8.19E-05;-0.004225241;-0.000463246;-0.001204892;-0.000724222;-0.002343598;-0.00266607;-0.011018523
